event,event_time
CGO | OFA=CGO,2019-03-30 15:47:11 | 2019-03-30 15:47:11
CGO | OFA=CGO,2019-03-31 15:46:04 | 2019-03-31 15:46:04
CGO | OFA=CGO | CGO,2019-04-01 15:59:07 | 2019-04-01 15:59:07 | 2019-04-01 15:59:23
CGO | OFA=CGO | CGO,2019-04-02 16:06:55 | 2019-04-02 16:06:55 | 2019-04-02 16:07:11
CGO | OFA=CGO | CGO | CGO,2019-04-03 15:50:59 | 2019-04-03 15:50:59 | 2019-04-03 15:51:16 | 2019-04-03 15:51:32
CGO | OFA=CGO | CGO,2019-04-04 15:48:01 | 2019-04-04 15:48:01 | 2019-04-04 15:48:19
CGO | OFA=CGO | CGO,2019-04-05 15:49:36 | 2019-04-05 15:49:36 | 2019-04-05 15:49:55
CGO | OFA=CGO | CGO,2019-04-06 15:49:23 | 2019-04-06 15:49:23 | 2019-04-06 15:49:39
OFA | OFA | OFA | OFA | OFA | OFA | OFA | OFA,2019-04-07 15:41:16 | 2019-04-07 15:41:48 | 2019-04-07 15:42:18 | 2019-04-07 15:42:35 | 2019-04-07 15:42:56 | 2019-04-07 15:43:12 | 2019-04-07 15:43:42 | 2019-04-07 15:44:28
CGO | OFA=CGO,2019-04-08 16:13:01 | 2019-04-08 16:13:01
CGO | OFA=CGO,2019-04-09 16:12:58 | 2019-04-09 16:12:58
CGO | OFA=CGO,2019-04-10 15:47:49 | 2019-04-10 15:47:49
